 A=    31266.317568967275      Eo=    1655.2525140411533      T0=    167.89327870062482     
     T(K)                       1000/T                    kTST-exp             Ln kTST-exp                Ln kTST-Fit
   258.48082030000000        3.8687590005299901        1781.3877960000000        7.4851480001827904        7.6702331367427945     
   237.80234490000001        4.2051729995367255        1645.7310960000000        7.4059399997257334        7.5112705338539065     
   237.80234490000001        4.2051729995367255        2128.9112970000001        7.6633659998639256        7.5112705338539065     
   216.74690640000000        4.6136759993913348        1853.3535370000000        7.5247519997760932        7.3343597747394211     
   219.02844680000001        4.5656169991157514        1461.3676170000001        7.2871280002228689        7.3542892180240216     
   206.01688799999999        4.8539710006686443        1404.6226930000000        7.2475239997954635        7.2381110852269899     
   195.37748590000001        5.1182970002584112        1350.0811759999999        7.2079199999950871        7.1385481264248565     
   186.61615090000001        5.3585930005375539        1003.1406430000000        6.9108910004647042        7.0534859535078871     
   173.39752510000000        5.7670949999043559        1023.2017900000000        6.9306919996767071        6.9200156549771066     
   161.92763840000001        6.1755980009401528        908.57823629999996        6.8118810000338028        6.7994535972303298     
   152.43737450000000        6.5600710014852686        873.29725829999995        6.7722759999437869        6.6966630520791757     
   152.43737450000000        6.5600710014852686        775.46666770000002        6.6534650000036217        6.6966630520791757     
   144.49791669999999        6.9205150000615898        730.74093579999999        6.5940589999458998        6.6088158143682234     
   131.69430120000001        7.5933429988085157        648.87948110000002        6.4752470000761573        6.4643106817764728     
   121.32768400000000        8.2421419995126577        521.87338450000004        6.2574250000314668        6.3456270854744741     
   110.67925300000000        9.0351169970400864        491.77387149999998        6.1980190000665454        6.2232971676654962     
   101.00824410000000        9.9001819991047650        445.41614390000001        6.0990090000128330        6.1129739406462207     
   100.76366770000000        9.9242119984880226        380.16029780000002        5.9405930000882954        6.1102044294230460     
   97.232188519999994        10.284660000163495        380.16029780000002        5.9405930000882954        6.0703712258084188     
   91.462438660000004        10.933450000358869        372.70640809999998        5.9207910000588946        6.0060533803287948     
   88.921770179999996        11.245840000438012        380.16029780000002        5.9405930000882954        5.9780989532275983     
   88.168182569999999        11.341960000208271        351.21023350000002        5.8613850000038648        5.9698569470662504     
   86.879765359999993        11.510159999354769        387.76326050000000        5.9603950000534507        5.9558215246718884     
   85.277445909999997        11.726429999502784        351.21023350000002        5.8613850000038648        5.9384702355298717     
   81.920075499999996        12.207019999633667        372.70640809999998        5.9207910000588946        5.9025177299909961     
   81.759129430000002        12.231049999818962        324.46478189999999        5.7821769998999084        5.9008088614542960     
   74.982697740000006        13.336410000443923        330.95420089999999        5.8019799999425965        5.8302261030959954     
   71.504110409999996        13.985210000740713        311.86612209999998        5.7425739998881875        5.7951512723837313     
   70.059606709999997        14.273560000691019        318.10292690000000        5.7623749999073608        5.7808446195949319     
   63.632094500000001        15.715340000320122        324.46478189999999        5.7821769998999084        5.7192186703950281     
   59.792233950000004        16.724579998737443        311.86612209999998        5.7425739998881875        5.6841462091984551     
   55.561266019999998        17.998149999678500        305.75129190000001        5.7227719999058611        5.6471834441822297     
   50.750472610000003        19.704250001466143        288.11681340000001        5.6633659999849897        5.6074921888055158     
   45.630908920000003        21.914969998804924        282.46764130000003        5.6435639999550258        5.5682316043510047     
   42.638722950000002        23.452860001755752        276.92923380000002        5.6237619999021780        5.5468122580378605     
 Chi Quadrado:   7.38411789969945290E-003
 
 k = A*exp(1-(E0/(R*((T^2-T0^2)^(1/2))))) 
 ln(k) = ln(A)-(E0/(R*((T^2-T0^2)^(1/2))))
