 A=    23311.113523858203      E0=    2441.3794997231730      Ev=    428.62733058155828     
     T(K)                       1000/T                    kTST-exp             Ln kTST-exp                Ln kTST-Fit
   258.48082030000000        3.8687590005299901        1781.3877960000000        7.4851480001827904        7.4689691583642235     
   237.80234490000001        4.2051729995367255        1645.7310960000000        7.4059399997257334        7.3522824566431293     
   237.80234490000001        4.2051729995367255        2128.9112970000001        7.6633659998639256        7.3522824566431293     
   216.74690640000000        4.6136759993913348        1853.3535370000000        7.5247519997760932        7.2220777117355173     
   219.02844680000001        4.5656169991157514        1461.3676170000001        7.2871280002228689        7.2367918387132404     
   206.01688799999999        4.8539710006686443        1404.6226930000000        7.2475239997954635        7.1507569126449502     
   195.37748590000001        5.1182970002584112        1350.0811759999999        7.2079199999950871        7.0763876299804078     
   186.61615090000001        5.3585930005375539        1003.1406430000000        6.9108910004647042        7.0122136488081432     
   173.39752510000000        5.7670949999043559        1023.2017900000000        6.9306919996767071        6.9099619371803200     
   161.92763840000001        6.1755980009401528        908.57823629999996        6.8118810000338028        6.8154804889372347     
   152.43737450000000        6.5600710014852686        873.29725829999995        6.7722759999437869        6.7328893001508865     
   152.43737450000000        6.5600710014852686        775.46666770000002        6.6534650000036217        6.7328893001508865     
   144.49791669999999        6.9205150000615898        730.74093579999999        6.5940589999458998        6.6604772596444288     
   131.69430120000001        7.5933429988085157        648.87948110000002        6.4752470000761573        6.5367857825675380     
   121.32768400000000        8.2421419995126577        521.87338450000004        6.2574250000314668        6.4298102294487256     
   110.67925300000000        9.0351169970400864        491.77387149999998        6.1980190000665454        6.3129128336316294     
   101.00824410000000        9.9001819991047650        445.41614390000001        6.0990090000128330        6.1999949598076176     
   100.76366770000000        9.9242119984880226        380.16029780000002        5.9405930000882954        6.1970506337446176     
   97.232188519999994        10.284660000163495        380.16029780000002        5.9405930000882954        6.1540286710294358     
   91.462438660000004        10.933450000358869        372.70640809999998        5.9207910000588946        6.0816303506728557     
   88.921770179999996        11.245840000438012        380.16029780000002        5.9405930000882954        6.0488886315525203     
   88.168182569999999        11.341960000208271        351.21023350000002        5.8613850000038648        6.0390728098452469     
   86.879765359999993        11.510159999354769        387.76326050000000        5.9603950000534507        6.0221783925887227     
   85.277445909999997        11.726429999502784        351.21023350000002        5.8613850000038648        6.0009680259026350     
   81.920075499999996        12.207019999633667        372.70640809999998        5.9207910000588946        5.9557919806186916     
   81.759129430000002        12.231049999818962        324.46478189999999        5.7821769998999084        5.9536009541902004     
   74.982697740000006        13.336410000443923        330.95420089999999        5.8019799999425965        5.8591703689729240     
   71.504110409999996        13.985210000740713        311.86612209999998        5.7425739998881875        5.8089819518000727     
   70.059606709999997        14.273560000691019        318.10292690000000        5.7623749999073608        5.7877854258525723     
   63.632094500000001        15.715340000320122        324.46478189999999        5.7821769998999084        5.6908375986606972     
   59.792233950000004        16.724579998737443        311.86612209999998        5.7425739998881875        5.6307836274048402     
   55.561266019999998        17.998149999678500        305.75129190000001        5.7227719999058611        5.5626646490908698     
   50.750472610000003        19.704250001466143        288.11681340000001        5.6633659999849897        5.4826099969357056     
   45.630908920000003        21.914969998804924        282.46764130000003        5.6435639999550258        5.3942149981073833     
   42.638722950000002        23.452860001755752        276.92923380000002        5.6237619999021780        5.3409471023646926     
 Chi Quadrado:   2.18373254356970768E-002
 
 k = A*(1-d*E0/(R*T+Ev))^(1/d)
 ln(k) = ln(A)+(ln(1-(d*E0/(r*T(i)+Ev)))/d)
 d=(-1/3)*(Ev/(2*E0))^2
