 A=    3324453.1932541607      Eo=    318.06837874296548      d=  -0.81738925437245247     
     T(K)                        T/1000                   kTST-exp             Ln kTST-exp                Ln kTST-Fit
   258.48082030000000        3.8687590005299901        1781.3877960000000        7.4851480001827904        7.4247262082951115     
   237.80234490000001        4.2051729995367255        1645.7310960000000        7.4059399997257334        7.3209415569784628     
   237.80234490000001        4.2051729995367255        2128.9112970000001        7.6633659998639256        7.3209415569784628     
   216.74690640000000        4.6136759993913348        1853.3535370000000        7.5247519997760932        7.2055257543926174     
   219.02844680000001        4.5656169991157514        1461.3676170000001        7.2871280002228689        7.2185626779513816     
   206.01688799999999        4.8539710006686443        1404.6226930000000        7.2475239997954635        7.1423098734984842     
   195.37748590000001        5.1182970002584112        1350.0811759999999        7.2079199999950871        7.0762834109492401     
   186.61615090000001        5.3585930005375539        1003.1406430000000        6.9108910004647042        7.0191490933483944     
   173.39752510000000        5.7670949999043559        1023.2017900000000        6.9306919996767071        6.9276512741216827     
   161.92763840000001        6.1755980009401528        908.57823629999996        6.8118810000338028        6.8424086337741317     
   152.43737450000000        6.5600710014852686        873.29725829999995        6.7722759999437869        6.7671753865875353     
   152.43737450000000        6.5600710014852686        775.46666770000002        6.6534650000036217        6.7671753865875353     
   144.49791669999999        6.9205150000615898        730.74093579999999        6.5940589999458998        6.7005409121335555     
   131.69430120000001        7.5933429988085157        648.87948110000002        6.4752470000761573        6.5849461394017892     
   121.32768400000000        8.2421419995126577        521.87338450000004        6.2574250000314668        6.4827884610705437     
   110.67925300000000        9.0351169970400864        491.77387149999998        6.1980190000665454        6.3683219564595257     
   101.00824410000000        9.9001819991047650        445.41614390000001        6.0990090000128330        6.2543742275677285     
   100.76366770000000        9.9242119984880226        380.16029780000002        5.9405930000882954        6.2513528911744416     
   97.232188519999994        10.284660000163495        380.16029780000002        5.9405930000882954        6.2068898901179317     
   91.462438660000004        10.933450000358869        372.70640809999998        5.9207910000588946        6.1306464358030626     
   88.921770179999996        11.245840000438012        380.16029780000002        5.9405930000882954        6.0955337994475940     
   88.168182569999999        11.341960000208271        351.21023350000002        5.8613850000038648        6.0849257911245562     
   86.879765359999993        11.510159999354769        387.76326050000000        5.9603950000534507        6.0665772060595495     
   85.277445909999997        11.726429999502784        351.21023350000002        5.8613850000038648        6.0433745819413849     
   81.920075499999996        12.207019999633667        372.70640809999998        5.9207910000588946        5.9933091652407811     
   81.759129430000002        12.231049999818962        324.46478189999999        5.7821769998999084        5.9908578249235633     
   74.982697740000006        13.336410000443923        330.95420089999999        5.8019799999425965        5.8830086626312612     
   71.504110409999996        13.985210000740713        311.86612209999998        5.7425739998881875        5.8237932167485162     
   70.059606709999997        14.273560000691019        318.10292690000000        5.7623749999073608        5.7983518793208217     
   63.632094500000001        15.715340000320122        324.46478189999999        5.7821769998999084        5.6783890920034805     
   59.792233950000004        16.724579998737443        311.86612209999998        5.7425739998881875        5.6007916914808940     
   55.561266019999998        17.998149999678500        305.75129190000001        5.7227719999058611        5.5092937487470879     
   50.750472610000003        19.704250001466143        288.11681340000001        5.6633659999849897        5.3963774258122132     
   45.630908920000003        21.914969998804924        282.46764130000003        5.6435639999550258        5.2637931583300173     
   42.638722950000002        23.452860001755752        276.92923380000002        5.6237619999021780        5.1792259345061895     
 Chi Quadrado:   3.68966180672752678E-002
 
 k = A*(1-((d*E0)/(R*T)))^(1/d)
 ln(k) = ln(A)+(1/d)*ln(1-((d*E0)/(R*T)))
